2026-09-13 12:58:00 | __main__                       | INFO     |   Run 26/30: 35.4 tok/s, TTFT=150.2ms, TPOT=22.9ms, VRAM=2147MB, Power=58.0W, J/tok=1.615
2026-09-13 12:58:04 | __main__                       | INFO     |   Run 27/30: 35.6 tok/s, TTFT=163.2ms, TPOT=22.5ms, VRAM=2147MB, Power=58.6W, J/tok=1.631
2026-09-13 12:58:08 | __main__                       | INFO     |   Run 28/30: 37.0 tok/s, TTFT=150.7ms, TPOT=21.6ms, VRAM=2147MB, Power=60.3W, J/tok=1.608
2026-09-13 12:58:11 | __main__                       | INFO     |   Run 29/30: 37.0 tok/s, TTFT=149.1ms, TPOT=21.7ms, VRAM=2147MB, Power=60.9W, J/tok=1.622
2026-09-13 12:58:14 | __main__                       | INFO     |   Run 30/30: 38.0 tok/s, TTFT=151.9ms, TPOT=20.9ms, VRAM=2147MB, Power=61.6W, J/tok=1.619
2026-09-13 12:58:14 | __main__                       | INFO     | 
--- Summary (ctx=512) ---
2026-09-13 12:58:14 | __main__                       | INFO     |   tok/s:  36.9 ± 1.1
2026-09-13 12:58:14 | __main__                       | INFO     |   TTFT:   148.2 ± 7.4 ms
2026-09-13 12:58:14 | __main__                       | INFO     |   TPOT:   21.8 ± 0.8 ms
2026-09-13 12:58:14 | __main__                       | INFO     |   VRAM:   peak=2147MB, alloc=2001MB
2026-09-13 12:58:14 | __main__                       | INFO     |   GPU:    util=74%, power=60.7W, temp=86°C
2026-09-13 12:58:14 | __main__                       | INFO     |   Energy: 1.6326 J/token
2026-09-13 12:58:14 | __main__                       | INFO     | 
============================================================
2026-09-13 12:58:14 | __main__                       | INFO     | CONTEXT LENGTH: 1024
2026-09-13 12:58:14 | __main__                       | INFO     | ============================================================
2026-09-13 12:58:15 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-09-13 12:58:15 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-09-13 12:58:15 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Salesforce/wikitext/b08601e04326c79dfdd32d625aee71d232d685c3/README.md "HTTP/1.1 200 OK"
2026-09-13 12:58:15 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 307 Temporary Redirect"
2026-09-13 12:58:16 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/Salesforce/wikitext/resolve/b08601e04326c79dfdd32d625aee71d232d685c3/wikitext.py "HTTP/1.1 404 Not Found"
2026-09-13 12:58:16 | httpx                          | INFO     | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/wikitext/wikitext.py "HTTP/1.1 200 OK"
2026-09-13 12:58:16 | __main__                       | WARNING  | Could not load wikitext: Invalid HF URI 'hf://datasets/wikitext@b08601e04326c79dfdd32d625aee71d232d685c3/.huggingface.yaml'. Repository id must be 'namespace/name', got 'wikitext'.. Using repeated text.
2026-09-13 12:58:19 | __main__                       | INFO     | Prepared 40 prompts at ~1024 tokens
2026-09-13 12:58:19 | __main__                       | INFO     | Warmup: 10 runs...
2026-09-13 12:58:32 | __main__                       | INFO     | Measuring: 30 runs, 128 new tokens each...
2026-09-13 12:58:35 | __main__                       | INFO     |   Run 1/30: 34.3 tok/s, TTFT=281.1ms, TPOT=22.1ms, VRAM=2316MB, Power=61.8W, J/tok=1.792
2026-09-13 12:58:39 | __main__                       | INFO     |   Run 2/30: 34.7 tok/s, TTFT=279.6ms, TPOT=21.8ms, VRAM=2316MB, Power=61.7W, J/tok=1.767
2026-09-13 12:58:43 | __main__                       | INFO     |   Run 3/30: 36.3 tok/s, TTFT=283.0ms, TPOT=20.5ms, VRAM=2316MB, Power=63.4W, J/tok=1.739
2026-09-13 12:58:46 | __main__                       | INFO     |   Run 4/30: 36.0 tok/s, TTFT=273.8ms, TPOT=20.7ms, VRAM=2316MB, Power=63.9W, J/tok=1.753
2026-09-13 12:58:50 | __main__                       | INFO     |   Run 5/30: 34.6 tok/s, TTFT=290.3ms, TPOT=21.7ms, VRAM=2316MB, Power=62.2W, J/tok=1.782
2026-09-13 12:58:53 | __main__                       | INFO     |   Run 6/30: 35.4 tok/s, TTFT=276.7ms, TPOT=21.2ms, VRAM=2316MB, Power=63.2W, J/tok=1.760
2026-09-13 12:58:57 | __main__                       | INFO     |   Run 7/30: 34.6 tok/s, TTFT=277.4ms, TPOT=21.8ms, VRAM=2316MB, Power=61.8W, J/tok=1.771
2026-09-13 12:59:01 | __main__                       | INFO     |   Run 8/30: 34.8 tok/s, TTFT=282.2ms, TPOT=21.6ms, VRAM=2316MB, Power=62.5W, J/tok=1.788
2026-09-13 12:59:05 | __main__                       | INFO     |   Run 9/30: 34.3 tok/s, TTFT=273.7ms, TPOT=22.1ms, VRAM=2316MB, Power=61.3W, J/tok=1.780
2026-09-13 12:59:08 | __main__                       | INFO     |   Run 10/30: 35.9 tok/s, TTFT=273.0ms, TPOT=20.9ms, VRAM=2316MB, Power=62.7W, J/tok=1.747
2026-09-13 12:59:12 | __main__                       | INFO     |   Run 11/30: 36.5 tok/s, TTFT=278.0ms, TPOT=20.3ms, VRAM=2316MB, Power=64.0W, J/tok=1.732
2026-09-13 12:59:15 | __main__                       | INFO     |   Run 12/30: 35.8 tok/s, TTFT=279.1ms, TPOT=20.8ms, VRAM=2316MB, Power=63.2W, J/tok=1.758
2026-09-13 12:59:19 | __main__                       | INFO     |   Run 13/30: 36.6 tok/s, TTFT=274.6ms, TPOT=20.4ms, VRAM=2316MB, Power=64.2W, J/tok=1.738
2026-09-13 12:59:22 | __main__                       | INFO     |   Run 14/30: 35.4 tok/s, TTFT=266.6ms, TPOT=21.3ms, VRAM=2316MB, Power=62.6W, J/tok=1.766
2026-09-13 12:59:26 | __main__                       | INFO     |   Run 15/30: 35.4 tok/s, TTFT=270.6ms, TPOT=21.3ms, VRAM=2316MB, Power=62.7W, J/tok=1.768
2026-09-13 12:59:30 | __main__                       | INFO     |   Run 16/30: 35.0 tok/s, TTFT=278.1ms, TPOT=21.5ms, VRAM=2316MB, Power=62.7W, J/tok=1.770
2026-09-13 12:59:33 | __main__                       | INFO     |   Run 17/30: 35.0 tok/s, TTFT=280.0ms, TPOT=21.5ms, VRAM=2316MB, Power=62.4W, J/tok=1.761
2026-09-13 12:59:37 | __main__                       | INFO     |   Run 18/30: 35.6 tok/s, TTFT=280.3ms, TPOT=20.9ms, VRAM=2316MB, Power=63.3W, J/tok=1.761
